No,Time,Temperature,Prototype_Formulation,Packaging,Purity
1,0,5,1,1,0.23
2,13,5,1,1,0.25
3,33,5,1,1,0.30
4,35,5,1,1,
5,45,5,1,1,0.31
6,60,5,1,1,0.33
7,61,5,1,1,
8,96,5,1,1,0.38
9,97,5,1,1,
10,0,25,1,1,0.23
11,13,25,1,1,0.34
12,33,25,1,1,0.54
13,35,25,1,1,
14,45,25,1,1,0.64
15,60,25,1,1,0.70
16,61,25,1,1,
17,96,25,1,1,0.87
18,97,25,1,1,
19,0,30,1,1,0.23
20,13,30,1,1,0.41
21,33,30,1,1,0.63
22,35,30,1,1,
23,45,30,1,1,0.77
24,60,30,1,1,0.86
25,61,30,1,1,
26,96,30,1,1,1.04
27,97,30,1,1,
28,0,37,1,1,0.23
29,13,37,1,1,0.51
30,33,37,1,1,0.88
31,35,37,1,1,
32,45,37,1,1,1.07
33,60,37,1,1,1.20
34,61,37,1,1,
35,96,37,1,1,1.49
36,97,37,1,1,
37,0,40,1,1,0.23
38,13,40,1,1,0.57
39,33,40,1,1,1.00
40,35,40,1,1,
41,45,40,1,1,1.24
42,60,40,1,1,1.36
43,61,40,1,1,
44,96,40,1,1,1.65
45,97,40,1,1,
46,0,5,2,1,0.22
47,13,5,2,1,0.24
48,33,5,2,1,0.23
49,35,5,2,1,
50,45,5,2,1,0.26
51,60,5,2,1,0.26
52,61,5,2,1,
53,96,5,2,1,0.31
54,97,5,2,1,
55,0,25,2,1,0.22
56,13,25,2,1,0.30
57,33,25,2,1,0.46
58,35,25,2,1,
59,45,25,2,1,0.57
60,60,25,2,1,0.64
61,61,25,2,1,
62,96,25,2,1,0.83
63,97,25,2,1,
64,0,30,2,1,0.22
65,13,30,2,1,0.35
66,33,30,2,1,0.57
67,35,30,2,1,
68,45,30,2,1,0.72
69,60,30,2,1,0.83
70,61,30,2,1,
71,96,30,2,1,1.10
72,97,30,2,1,
73,0,37,2,1,0.22
74,13,37,2,1,0.47
75,33,37,2,1,0.88
76,35,37,2,1,
77,45,37,2,1,1.13
78,60,37,2,1,1.27
79,61,37,2,1,
80,96,37,2,1,1.66
81,97,37,2,1,
82,0,40,2,1,0.22
83,13,40,2,1,0.54
84,33,40,2,1,1.03
85,35,40,2,1,
86,45,40,2,1,1.31
87,60,40,2,1,1.53
88,61,40,2,1,
89,96,40,2,1,1.89
90,97,40,2,1,
91,0,5,3,1,0.22
92,13,5,3,1,0.24
93,33,5,3,1,0.27
94,35,5,3,1,
95,45,5,3,1,0.27
96,60,5,3,1,0.29
97,61,5,3,1,
98,96,5,3,1,0.35
99,97,5,3,1,
100,0,25,3,1,0.22
101,13,25,3,1,0.30
102,33,25,3,1,0.50
103,35,25,3,1,
104,45,25,3,1,0.59
105,60,25,3,1,0.66
106,61,25,3,1,
107,96,25,3,1,0.83
108,97,25,3,1,
109,0,30,3,1,0.22
110,13,30,3,1,0.35
111,33,30,3,1,0.58
112,35,30,3,1,
113,45,30,3,1,0.72
114,60,30,3,1,0.81
115,61,30,3,1,
116,96,30,3,1,1.00
117,97,30,3,1,
118,0,37,3,1,0.22
119,13,37,3,1,0.46
120,33,37,3,1,0.82
121,35,37,3,1,
122,45,37,3,1,1.03
123,60,37,3,1,1.16
124,61,37,3,1,
125,96,37,3,1,1.41
126,97,37,3,1,
127,0,40,3,1,0.22
128,13,40,3,1,0.51
129,33,40,3,1,0.93
130,35,40,3,1,
131,45,40,3,1,1.17
132,60,40,3,1,1.31
133,61,40,3,1,
134,96,40,3,1,1.59
135,97,40,3,1,
136,0,5,1,2,0.26
137,13,5,1,2,0.34
138,33,5,1,2,0.41
139,35,5,1,2,
140,45,5,1,2,0.49
141,60,5,1,2,
142,61,5,1,2,0.53
143,96,5,1,2,
144,97,5,1,2,0.57
145,0,25,1,2,0.26
146,13,25,1,2,0.52
147,33,25,1,2,0.69
148,35,25,1,2,
149,45,25,1,2,0.75
150,60,25,1,2,
151,61,25,1,2,0.79
152,96,25,1,2,
153,97,25,1,2,0.89
154,0,30,1,2,0.26
155,13,30,1,2,0.60
156,33,30,1,2,0.76
157,35,30,1,2,
158,45,30,1,2,0.86
159,60,30,1,2,
160,61,30,1,2,0.91
161,96,30,1,2,
162,97,30,1,2,1.06
163,0,37,1,2,0.26
164,13,37,1,2,0.68
165,33,37,1,2,0.82
166,35,37,1,2,
167,45,37,1,2,1.12
168,60,37,1,2,
169,61,37,1,2,1.27
170,96,37,1,2,
171,97,37,1,2,1.52
172,0,40,1,2,0.26
173,13,40,1,2,0.73
174,33,40,1,2,1.08
175,35,40,1,2,
176,45,40,1,2,1.28
177,60,40,1,2,
178,61,40,1,2,1.43
179,96,40,1,2,
180,97,40,1,2,1.79
181,0,5,2,2,0.23
182,13,5,2,2,0.31
183,33,5,2,2,
184,35,5,2,2,0.41
185,45,5,2,2,0.44
186,60,5,2,2,
187,61,5,2,2,0.49
188,96,5,2,2,
189,97,5,2,2,0.57
190,0,25,2,2,0.23
191,13,25,2,2,0.50
192,33,25,2,2,
193,35,25,2,2,0.72
194,45,25,2,2,0.81
195,60,25,2,2,
196,61,25,2,2,0.85
197,96,25,2,2,
198,97,25,2,2,0.97
199,0,30,2,2,0.23
200,13,30,2,2,0.57
201,33,30,2,2,
202,35,30,2,2,0.80
203,45,30,2,2,0.92
204,60,30,2,2,
205,61,30,2,2,1.00
206,96,30,2,2,
207,97,30,2,2,1.17
208,0,37,2,2,0.23
209,13,37,2,2,0.71
210,33,37,2,2,
211,35,37,2,2,1.01
212,45,37,2,2,1.23
213,60,37,2,2,
214,61,37,2,2,1.39
215,96,37,2,2,
216,97,37,2,2,1.71
217,0,40,2,2,0.23
218,13,40,2,2,0.74
219,33,40,2,2,
220,35,40,2,2,1.15
221,45,40,2,2,1.39
222,60,40,2,2,
223,61,40,2,2,1.60
224,96,40,2,2,
225,97,40,2,2,2.08
226,0,5,3,2,0.20
227,13,5,3,2,0.31
228,33,5,3,2,
229,35,5,3,2,0.38
230,45,5,3,2,0.41
231,60,5,3,2,
232,61,5,3,2,0.46
233,96,5,3,2,
234,97,5,3,2,0.54
235,0,25,3,2,0.20
236,13,25,3,2,0.50
237,33,25,3,2,
238,35,25,3,2,0.66
239,45,25,3,2,0.72
240,60,25,3,2,
241,61,25,3,2,0.77
242,96,25,3,2,
243,97,25,3,2,0.86
244,0,30,3,2,0.20
245,13,30,3,2,0.54
246,33,30,3,2,
247,35,30,3,2,0.72
248,45,30,3,2,0.83
249,60,30,3,2,
250,61,30,3,2,0.88
251,96,30,3,2,
252,97,30,3,2,1.03
253,0,37,3,2,0.20
254,13,37,3,2,0.67
255,33,37,3,2,
256,35,37,3,2,0.92
257,45,37,3,2,1.10
258,60,37,3,2,
259,61,37,3,2,1.22
260,96,37,3,2,
261,97,37,3,2,1.49
262,0,40,3,2,0.20
263,13,40,3,2,0.70
264,33,40,3,2,
265,35,40,3,2,1.01
266,45,40,3,2,1.22
267,60,40,3,2,
268,61,40,3,2,1.37
269,96,40,3,2,
270,97,40,3,2,1.76